POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
13811 	2.23 	1.00 	3.25 	0.00 	3.11 	0.00 
71326 	9.12 	4.02 	13.25 	0.00 	12.63 	0.00 
11550 	1.80 	0.79 	2.59 	0.00 	2.50 	0.00 
10566 	1.70 	0.76 	2.46 	0.00 	2.37 	0.00 
12235 	1.98 	0.88 	2.89 	0.00 	2.78 	0.00 
823953 	41.30 	18.43 	60.07 	0.00 	57.63 	0.00 
40163 	5.71 	2.51 	8.23 	0.00 	7.96 	0.00 
50976 	7.32 	3.24 	10.56 	0.00 	10.16 	0.00 
31381 	4.25 	1.89 	6.12 	0.00 	5.88 	0.00 
16588 	2.63 	1.17 	3.82 	0.00 	3.67 	0.00 
12032 	1.88 	0.82 	2.73 	0.00 	2.61 	0.00 
80308 	9.07 	3.99 	13.18 	0.00 	12.58 	0.00 
46418 	6.08 	2.70 	8.79 	0.00 	8.38 	0.00 
38085 	5.09 	2.27 	7.37 	0.00 	7.13 	0.00 
70765 	9.37 	4.14 	13.66 	0.00 	13.13 	0.00 
11517 	1.88 	0.83 	2.72 	0.00 	2.63 	0.00 
3779 	0.59 	0.27 	0.86 	0.00 	0.83 	0.00 
95500 	13.03 	5.82 	18.89 	0.00 	18.08 	0.00 
25819 	3.80 	1.68 	5.48 	0.00 	5.28 	0.00 
43514 	6.66 	2.95 	9.68 	0.00 	9.25 	0.00 
45602 	6.00 	2.63 	8.69 	0.00 	8.32 	0.00 
44464 	6.27 	2.77 	9.08 	0.00 	8.72 	0.00 
20612 	2.40 	1.07 	3.47 	0.00 	3.34 	0.00 
7645 	1.22 	0.54 	1.76 	0.00 	1.71 	0.00 
699241 	36.51 	16.41 	53.25 	0.00 	51.71 	0.00 
87142 	11.23 	4.96 	16.23 	0.00 	15.48 	0.00 
51105 	6.25 	2.84 	9.14 	0.00 	8.80 	0.00 
11661 	1.88 	0.83 	2.73 	0.00 	2.62 	0.00 
8798 	1.38 	0.61 	2.00 	0.00 	1.90 	0.00 
20585 	2.58 	1.14 	3.72 	0.00 	3.60 	0.00 
29207 	4.27 	1.89 	6.21 	0.00 	5.98 	0.00 
132441 	14.70 	6.57 	21.33 	0.00 	20.44 	0.00 
17201 	1.93 	0.85 	2.80 	0.00 	2.69 	0.00 
118841 	16.74 	7.44 	24.23 	0.00 	23.39 	0.00 
2005 	0.33 	0.15 	0.48 	0.00 	0.47 	0.00 
7871 	1.29 	0.57 	1.86 	0.00 	1.80 	0.00 
7940 	1.33 	0.58 	1.92 	0.00 	1.85 	0.00 
24835 	3.38 	1.50 	4.91 	0.00 	4.74 	0.00 
227519 	19.79 	8.70 	28.60 	0.00 	27.49 	0.00 
24411 	3.62 	1.58 	5.19 	0.00 	5.03 	0.00 
91859 	11.64 	5.13 	16.82 	0.00 	16.29 	0.00 
72531 	8.02 	3.54 	11.60 	0.00 	11.15 	0.00 
8604 	1.42 	0.62 	2.05 	0.00 	1.98 	0.00 
95120 	9.99 	4.46 	14.46 	0.00 	14.07 	0.00 
390193 	27.80 	12.32 	40.23 	0.00 	38.85 	0.00 
50099 	7.42 	3.26 	10.73 	0.00 	10.38 	0.00 
131661 	14.74 	6.47 	21.26 	0.00 	20.66 	0.00 
33775 	4.75 	2.11 	6.90 	0.00 	6.61 	0.00 
350973 	23.19 	10.28 	33.73 	0.00 	32.35 	0.00 
12122 	2.00 	0.89 	2.90 	0.00 	2.79 	0.00 
852064 	19.88 	8.83 	28.93 	0.00 	27.73 	0.00 
86261 	7.48 	3.28 	10.74 	0.00 	10.40 	0.00 
1848 	0.31 	0.14 	0.45 	0.00 	0.43 	0.00 
27520 	4.23 	1.84 	6.13 	0.00 	5.86 	0.00 
426508 	34.99 	15.25 	50.66 	0.00 	48.66 	0.00 
84111 	10.25 	4.51 	14.78 	0.00 	14.20 	0.00 
28226 	3.23 	1.43 	4.67 	0.00 	4.52 	0.00 
7483 	1.23 	0.55 	1.79 	0.00 	1.72 	0.00 
27719 	2.93 	1.30 	4.25 	0.00 	4.09 	0.00 
620044 	21.66 	9.69 	31.43 	0.00 	30.69 	0.00 
1513 	0.26 	0.11 	0.37 	0.00 	0.36 	0.00 
112737 	12.22 	5.41 	17.69 	0.00 	17.16 	0.00 
40322 	5.77 	2.55 	8.36 	0.00 	8.04 	0.00 
55094 	7.50 	3.30 	10.81 	0.00 	10.36 	0.00 
68060 	10.06 	4.44 	14.63 	0.00 	13.97 	0.00 
23283 	3.19 	1.40 	4.63 	0.00 	4.43 	0.00 
24550 	3.35 	1.48 	4.86 	0.00 	4.64 	0.00 
188473 	20.59 	9.16 	29.91 	0.00 	28.90 	0.00 
104575 	16.88 	7.51 	24.47 	0.00 	23.74 	0.00 
185013 	29.61 	13.10 	42.89 	0.00 	41.61 	0.00 
140406 	21.21 	9.29 	30.56 	0.00 	29.35 	0.00 
4815 	0.87 	0.38 	1.25 	0.00 	1.20 	0.00 
67706 	10.74 	4.74 	15.47 	0.00 	14.94 	0.00 
